Idweb,Short_ref,full_plants,full_insects,full_inter,dipt_plants,dipt_insects,dipt_inter,hymeno_plants,hymeno_insects,hymeno_inter,Mean_T_IPCC,T_Seasonality_IPCC,Tot_Rainfall_IPCC,Rainfall_Seasonality_IPCC,HF,Annual_time_span,Sampling_time,Sampling_effort,Sampling_type,taxo_full_sp_perc,Location,Country_location,Latitude_dec,Longitude_dec,Year,Complete_ref,Source
41,"Benadi et al., 2013",96,311,1029,87,217,743,50,43,171,"3,8","6,547",1313,28,26,112,210,"0,007",T,"99,02","Berchtesgaden National Park, German Alps, Germany", Germany,"47,55","12,9",2010,"Benadi, G., Hovestadt, T., Poethke, H. J., & Blüthgen, N. (2014). Specialization and phenological synchrony of plant-pollinator interactions along an altitudinal gradient. Journal of Animal Ecology, 83(3), 639–650.",DRYAD: https://doi.org/10.5061/dryad.8mn44
42,"Kaiser-Bunbury et al., 2017",35,139,541,33,59,285,34,25,149,"25,3","0,62",2266,49,16,244,2976,"0,612",TO,"54,6","Mahe Island, Seychelles", Seychelles,"-4,66","55,45",2013,"Kaiser-Bunbury, C. N., Mougal, J., Whittington, A. E., Valentin, T., Gabriel, R., Olesen, J. M., & Blüthgen, N. (2017). Ecosystem restoration strengthens pollination network resilience and function. Nature, 542(7640), 223–227.",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
43,"Fang & Huang, 2012",139,136,2132,113,66,1134,135,44,769,"12,5","4,3",1097,86,10,50,501,"0,027",TO,"60,73","Shangri-La Alpine Botanical Garden, Yunnan, China", China,"25,9","99,63",2010,"Fang, Q., & Huang, S. Q. (2012). Relative stability of core groups in pollination networks in a biodiversity hotspot over four years. PLoS ONE, 7(3). ",original publication
47,"Shay et al., 2016",15,27,121,12,9,27,15,11,76,"23,1","1,468",899,56,16,30,"128,5","0,317",T,"61,9","Ka‘ena Point, O'ahu, Hawaii", Hawaii,"21,57","-158,27",2009,"Shay, K., Drake, D. R., Taylor, A. D., Sahli, H. F., Euaparadorn, M., Akamine, M., … Aldrich, P. (2016). Alien Insects Dominate the Plant-Pollinator Network of a Hawaiian Coastal Ecosystem. Pacific Science, 70(4), 409–429. ",original publication
48,"Struck, 1994",57,118,326,0,0,0,56,109,309,"15,9","4,103",210,48,8,152,1350,"0,201",T,"74,29","Goegab Natural Reserve, Namaqualand Rocky Hills, South Africa", South Africa,"-29,62","17,98",1987,"Struck, M. (1994). Flowers and their insect visitors in the arid winter rainfall region of southern Africa: Observations on permanent plots. Insect visitation behaviour. Journal of Arid Environments, 28(1), 51–74. ",original publication
51,"Kato, 2000",110,604,1125,60,55,148,75,48,157,"20,5","4,907",2980,31,26,365,"448,5","0,007",T,"54,34","Amami-Ohsima Island, Japan", Japan,"28,37","129,48",1999,"Kato, M. (2000). Anthophilous insect community and plant-pollinator interactions on Amami Islands in the Ryukyu Archipelago, Japan. Contributions from the Biological Laboratory Kyoto University, 29, 157–252.",Web of life: ecological networks database (http://www.web-of-life.es/)
55,"Aizen et al., 2008",7,36,61,5,9,21,6,14,25,6,"4,271",791,60,8,90,102,"0,405",TO,"53,49","Nahuel Huapi National Park, Patagonia, Argentina", Argentina,"-41,25","-71,29",2001,"Aizen, M. A., Morales, C. L., & Morales, J. M. (2008). Invasive mutualists erode native pollination webs. PLoS Biology, 6(2), 0396–0403 ; Morales, C. L., & Aizen, M. A. (2006). Invasive mutualisms and the structure of plant-pollinator interactions in the temperate forests of north-west Patagonia, Argentina. Journal of Ecology, 94(1), 171–180",original publication
56,"Albrecht et al., 2010",33,75,179,28,50,136,14,17,33,"1,8","5,609",1063,32,41,90,"23,5","0,009",T,"72,22","Bernina Range, central
Alps of Switzerland", Switzerland,"46,44","9,94",2008,"Albrecht, M., Riesen, M., & Schmid, B. (2010). Plant-pollinator network assembly along the chronosequence of a glacier foreland. Oikos, 119(10), 1610–1624. ",original publication
58,Baldock et al. 2011,44,122,216,19,28,40,35,64,137,"17,9","0,567",697,56,20,120,306,"0,057",TO,"43,98","Mpala Research Centre, Laikipia District, central Kenya", Kenya,"0,32","36,89",2004,"Baldock, K. C. R., Memmott, J., Carlos Ruiz-Guajardo, J., Roze, D., & Stone, G. N. (2011). Daily temporal structure in African savanna flower visitation networks and consequences for network sampling. Ecology, 92(3), 687–698. ",original publication
61,"Chamberlain et al., 2014",42,219,877,36,63,198,40,139,606,"8,9","5,032",1580,66,26,90,"674,4","0,073",TO,"70,88","British Columbia, western Canada", Canada,"48,8","-123,89",2010,"Chamberlain, S. A., Cartar, R. V., Worley, A. C., Semmler, S. J., Gielens, G., Elwell, S., … Elle, E. (2014). Traits and phylogenetic history contribute to network structure across Canadian plant–pollinator communities. Oecologia, 176(2), 545–556 ; Chamberlain, S., Vázquez, D. P., Carvalheiro, L., Elle, E., & Vamosi, J. C. (2014). Phylogenetic tree shape and the structure of mutualistic networks. Journal of Ecology, 102(5), 1234–1243",original publication
62,"Chamberlain et al., 2014",48,263,916,33,57,140,48,182,690,"8,1","8,216",294,22,17,120,564,"0,045",TO,"66,24","British Columbia, western Canada", Canada,"49,16","-119,58",2010,"Chamberlain, S. A., Cartar, R. V., Worley, A. C., Semmler, S. J., Gielens, G., Elwell, S., … Elle, E. (2014). Traits and phylogenetic history contribute to network structure across Canadian plant–pollinator communities. Oecologia, 176(2), 545–556 ; Chamberlain, S., Vázquez, D. P., Carvalheiro, L., Elle, E., & Vamosi, J. C. (2014). Phylogenetic tree shape and the structure of mutualistic networks. Journal of Ecology, 102(5), 1234–1243",original publication
64,"Chamberlain et al., 2014",49,118,388,43,60,261,30,21,73,"2,5","12,939",502,57,12,105,48,"0,008",T,"51,5","Manitoba, Canada", Canada,"49,11","-96,72",2010,"Chamberlain, S. A., Cartar, R. V., Worley, A. C., Semmler, S. J., Gielens, G., Elwell, S., … Elle, E. (2014). Traits and phylogenetic history contribute to network structure across Canadian plant–pollinator communities. Oecologia, 176(2), 545–556 ; Chamberlain, S., Vázquez, D. P., Carvalheiro, L., Elle, E., & Vamosi, J. C. (2014). Phylogenetic tree shape and the structure of mutualistic networks. Journal of Ecology, 102(5), 1234–1243",original publication
